CompanyName,MatchingName,SimilarityScore
DIASORIN,DIASORIN SPA,0.8
DIETEREN GROUP,D'IETEREN SA,0.6923076923076923
DIGITAL REALTY TRUST,"DIGITAL REALTY TRUST, INC.",0.8695652173913043
DISCO CORP,DI CORP,0.8235294117647058
DISCOVER FINANCIAL,DISCOVER FINANCIAL SERVICES,0.8
DISH NETWORK A,DISH NETWORK CORP,0.8387096774193549
DISNEY (WALT),DISCOVERY LTD,0.6153846153846154
DNB BANK,DENA BANK,0.8235294117647058
DOCUSIGN,"DOCUSIGN, INC.",0.7272727272727273
DOLLAR GENERAL CORP,DOLLAR GENERAL CORP.,0.9743589743589743
DOLLAR TREE,"DOLLAR TREE, INC.",0.7857142857142857
DOLLARAMA,DOLLARAMA INC,0.8181818181818182
DOMINION ENERGY,DOMINION ENERGY INC,0.8823529411764706
DOMINOS PIZZA,"DOMINO'S PIZZA, INC.",0.7878787878787878
DOORDASH A,DOORDASH INC,0.8181818181818182
DOVER CORP,DOVER CORP,1.0
DOW,DOW INC.,0.5454545454545454
DROPBOX A,DROP SA,0.75
DSV,DSV A/S,0.6
DTE ENERGY,DTE ENERGY CO,0.8695652173913043
DUKE ENERGY CORP,DUKE ENERGY CORP,1.0
DUPONT DE NEMOURS,"DUPONT DE NEMOURS, INC.",0.85
DYNATRACE,DYNATRACE HOLDINGS LLC,0.5806451612903226
E. ON,E.ON SE,0.6666666666666666
